,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
31,31,10.0,8,360.0,215.0,4615.0,14.0,70,0
32,32,10.0,8,307.0,200.0,4376.0,15.0,70,0
33,33,11.0,8,318.0,210.0,4382.0,13.5,70,0
34,34,9.0,8,304.0,193.0,4732.0,18.5,70,0
35,24,27.0,4,97.0,88.0,2130.0,14.5,71,2
36,35,28.0,4,140.0,90.0,2264.0,15.5,71,0
37,36,25.0,4,113.0,95.0,2228.0,14.0,71,2
38,37,25.0,4,98.0,0.0,2046.0,19.0,71,0
39,38,0.0,4,97.0,48.0,1978.0,20.0,71,1
40,30,19.0,6,232.0,100.0,2634.0,13.0,71,0
41,39,16.0,6,225.0,105.0,3439.0,15.5,71,0
42,0,17.0,6,250.0,100.0,3329.0,15.5,71,0
43,40,19.0,6,250.0,88.0,3302.0,15.5,71,0
44,41,18.0,6,232.0,100.0,3288.0,15.5,71,0
45,6,14.0,8,350.0,165.0,4209.0,12.0,71,0
46,42,14.0,8,400.0,175.0,4464.0,11.5,71,0
47,5,14.0,8,351.0,153.0,4154.0,13.5,71,0
48,7,14.0,8,318.0,150.0,4096.0,13.0,71,0
49,43,12.0,8,383.0,180.0,4955.0,11.5,71,0
50,44,13.0,8,400.0,170.0,4746.0,12.0,71,0
51,45,13.0,8,400.0,175.0,5140.0,12.0,71,0
52,46,18.0,6,258.0,110.0,2962.0,13.5,71,0
53,47,22.0,4,140.0,72.0,2408.0,19.0,71,0
54,48,19.0,6,250.0,100.0,3282.0,15.0,71,0
55,49,18.0,6,250.0,88.0,3139.0,14.5,71,0
56,50,23.0,4,122.0,86.0,2220.0,14.0,71,0
57,51,28.0,4,116.0,90.0,2123.0,14.0,71,1
58,52,30.0,4,79.0,70.0,2074.0,19.5,71,1
59,53,30.0,4,88.0,76.0,2065.0,14.5,71,1
60,54,31.0,4,71.0,65.0,1773.0,19.0,71,2
61,55,35.0,4,72.0,69.0,1613.0,18.0,71,2
62,56,27.0,4,97.0,60.0,1834.0,19.0,71,1
63,57,26.0,4,91.0,70.0,1955.0,20.5,71,0
64,58,24.0,4,113.0,95.0,2278.0,15.5,72,2
65,59,25.0,4,97.5,80.0,2126.0,17.0,72,0
66,60,23.0,4,97.0,54.0,2254.0,23.5,72,1
67,61,20.0,4,140.0,90.0,2408.0,19.5,72,0
68,62,21.0,4,122.0,86.0,2226.0,16.5,72,0
69,6,13.0,8,350.0,165.0,4274.0,12.0,72,0
70,8,14.0,8,400.0,175.0,4385.0,12.0,72,0
71,63,15.0,8,318.0,150.0,4135.0,13.5,72,0
72,5,14.0,8,351.0,153.0,4129.0,13.0,72,0
73,64,17.0,8,304.0,150.0,3672.0,11.5,72,0
74,65,11.0,8,429.0,208.0,4633.0,11.0,72,0
75,66,13.0,8,350.0,155.0,4502.0,13.5,72,0
76,67,12.0,8,350.0,160.0,4456.0,13.5,72,0
77,68,13.0,8,400.0,190.0,4422.0,12.5,72,0
78,69,19.0,3,70.0,97.0,2330.0,13.5,72,2
79,70,15.0,8,304.0,150.0,3892.0,12.5,72,0
80,11,13.0,8,307.0,130.0,4098.0,14.0,72,0
81,71,13.0,8,302.0,140.0,4294.0,16.0,72,0
82,72,14.0,8,318.0,150.0,4077.0,14.0,72,0
83,73,18.0,4,121.0,112.0,2933.0,14.5,72,1
84,74,22.0,4,121.0,76.0,2511.0,18.0,72,1
85,75,21.0,4,120.0,87.0,2979.0,19.5,72,1
86,76,26.0,4,96.0,69.0,2189.0,18.0,72,1
87,77,22.0,4,122.0,86.0,2395.0,16.0,72,0
88,78,28.0,4,97.0,92.0,2288.0,17.0,72,2
89,79,23.0,4,120.0,97.0,2506.0,14.5,72,2
90,80,28.0,4,98.0,80.0,2164.0,15.0,72,0
91,81,27.0,4,97.0,88.0,2100.0,16.5,72,2
92,82,13.0,8,350.0,175.0,4100.0,13.0,73,0
93,41,14.0,8,304.0,150.0,3672.0,11.5,73,0
94,83,13.0,8,350.0,145.0,3988.0,13.0,73,0
95,84,14.0,8,302.0,137.0,4042.0,14.5,73,0
96,85,15.0,8,318.0,150.0,3777.0,12.5,73,0
97,86,12.0,8,429.0,198.0,4952.0,11.5,73,0
98,87,13.0,8,400.0,150.0,4464.0,12.0,73,0
99,88,13.0,8,351.0,158.0,4363.0,13.0,73,0
100,89,14.0,8,318.0,150.0,4237.0,14.5,73,0
101,90,13.0,8,440.0,215.0,4735.0,11.0,73,0
102,91,12.0,8,455.0,225.0,4951.0,11.0,73,0
103,92,13.0,8,360.0,175.0,3821.0,11.0,73,0
104,93,18.0,6,225.0,105.0,3121.0,16.5,73,0
105,94,16.0,6,250.0,100.0,3278.0,18.0,73,0
106,22,18.0,6,232.0,100.0,2945.0,16.0,73,0
107,23,18.0,6,250.0,88.0,3021.0,16.5,73,0
108,21,23.0,6,198.0,95.0,2904.0,16.0,73,0
109,95,26.0,4,97.0,46.0,1950.0,21.0,73,1
110,6,11.0,8,400.0,150.0,4997.0,14.0,73,0
111,96,12.0,8,400.0,167.0,4906.0,12.5,73,0
112,97,13.0,8,360.0,170.0,4654.0,13.0,73,0
113,98,12.0,8,350.0,180.0,4499.0,12.5,73,0
114,30,18.0,6,232.0,100.0,2789.0,15.0,73,0
115,99,20.0,4,97.0,88.0,2279.0,19.0,73,2
116,61,21.0,4,140.0,72.0,2401.0,19.5,73,0
117,100,22.0,4,108.0,94.0,2379.0,16.5,73,2
118,101,18.0,3,70.0,90.0,2124.0,13.5,73,2
119,37,19.0,4,122.0,85.0,2310.0,18.5,73,0
120,102,21.0,6,155.0,107.0,2472.0,14.0,73,0
121,103,26.0,4,98.0,90.0,2265.0,15.5,73,1
122,104,15.0,8,350.0,145.0,4082.0,13.0,73,0
123,105,16.0,8,400.0,230.0,4278.0,9.5,73,0
124,106,29.0,4,68.0,49.0,1867.0,19.5,73,1
125,107,24.0,4,116.0,75.0,2158.0,15.5,73,1
126,108,20.0,4,114.0,91.0,2582.0,14.0,73,1
127,109,19.0,4,121.0,112.0,2868.0,15.5,73,1
128,110,15.0,8,318.0,150.0,3399.0,11.0,73,0
129,111,24.0,4,121.0,110.0,2660.0,14.0,73,1
130,112,20.0,6,156.0,122.0,2807.0,13.5,73,2
131,113,11.0,8,350.0,180.0,3664.0,11.0,73,0
132,21,20.0,6,198.0,95.0,3102.0,16.5,74,0
133,23,21.0,6,200.0,0.0,2875.0,17.0,74,0
134,22,19.0,6,232.0,100.0,2901.0,16.0,74,0
135,114,15.0,6,250.0,100.0,3336.0,17.0,74,0
136,115,31.0,4,79.0,67.0,1950.0,19.0,74,2
137,37,26.0,4,122.0,80.0,2451.0,16.5,74,0
138,54,32.0,4,71.0,65.0,1836.0,21.0,74,2
139,61,25.0,4,140.0,75.0,2542.0,17.0,74,0
140,116,16.0,6,250.0,100.0,3781.0,17.0,74,0
141,41,16.0,6,258.0,110.0,3632.0,18.0,74,0
142,117,18.0,6,225.0,105.0,3613.0,16.5,74,0
143,84,16.0,8,302.0,140.0,4141.0,14.0,74,0
144,118,13.0,8,350.0,150.0,4699.0,14.5,74,0
145,119,14.0,8,318.0,150.0,4457.0,13.5,74,0
146,71,14.0,8,302.0,140.0,4638.0,16.0,74,0
147,70,14.0,8,304.0,150.0,4257.0,15.5,74,0
148,120,29.0,4,98.0,83.0,2219.0,16.5,74,1
149,121,26.0,4,79.0,67.0,1963.0,15.5,74,1
150,107,26.0,4,97.0,78.0,2300.0,14.5,74,1
151,36,31.0,4,76.0,52.0,1649.0,16.5,74,2
152,122,32.0,4,83.0,61.0,2003.0,19.0,74,2
153,123,28.0,4,90.0,75.0,2125.0,14.5,74,0
154,106,24.0,4,90.0,75.0,2108.0,15.5,74,1
155,124,26.0,4,116.0,75.0,2246.0,14.0,74,1
156,125,24.0,4,120.0,97.0,2489.0,15.0,74,2
157,126,26.0,4,108.0,93.0,2391.0,15.5,74,2
158,127,31.0,4,79.0,67.0,2000.0,16.0,74,1
159,128,19.0,6,225.0,95.0,3264.0,16.0,75,0
160,114,18.0,6,250.0,105.0,3459.0,16.0,75,0
161,129,15.0,6,250.0,72.0,3432.0,21.0,75,0
162,23,15.0,6,250.0,72.0,3158.0,19.5,75,0
163,8,16.0,8,400.0,170.0,4668.0,11.5,75,0
164,130,15.0,8,350.0,145.0,4440.0,14.0,75,0
165,131,16.0,8,318.0,150.0,4498.0,14.5,75,0
166,88,14.0,8,351.0,148.0,4657.0,13.5,75,0
167,132,17.0,6,231.0,110.0,3907.0,21.0,75,0
168,133,16.0,6,250.0,105.0,3897.0,18.5,75,0
169,41,15.0,6,258.0,110.0,3730.0,19.0,75,0
170,134,18.0,6,225.0,95.0,3785.0,19.0,75,0
171,135,21.0,6,231.0,110.0,3039.0,15.0,75,0
172,136,20.0,8,262.0,110.0,3221.0,13.5,75,0
173,137,13.0,8,302.0,129.0,3169.0,12.0,75,0
174,36,29.0,4,97.0,75.0,2171.0,16.0,75,2
175,37,23.0,4,140.0,83.0,2639.0,17.0,75,0
176,30,20.0,6,232.0,100.0,2914.0,16.0,75,0
177,138,23.0,4,140.0,78.0,2592.0,18.5,75,0
178,36,24.0,4,134.0,96.0,2702.0,13.5,75,2
179,121,25.0,4,90.0,71.0,2223.0,16.5,75,1
180,122,24.0,4,119.0,97.0,2545.0,17.0,75,2
181,37,18.0,6,171.0,97.0,2984.0,14.5,75,0
182,139,29.0,4,90.0,70.0,1937.0,14.0,75,1
183,140,19.0,6,232.0,90.0,3211.0,17.0,75,0
184,108,23.0,4,115.0,95.0,2694.0,15.0,75,1
185,26,23.0,4,120.0,88.0,2957.0,17.0,75,1
186,141,22.0,4,121.0,98.0,2945.0,14.5,75,1
187,142,25.0,4,121.0,115.0,2671.0,13.5,75,1
188,143,33.0,4,91.0,53.0,1795.0,17.5,75,2
189,144,28.0,4,107.0,86.0,2464.0,15.5,76,1
190,51,25.0,4,116.0,81.0,2220.0,16.9,76,1
191,145,25.0,4,140.0,92.0,2572.0,14.9,76,0
192,123,26.0,4,98.0,79.0,2255.0,17.7,76,0
193,146,27.0,4,101.0,83.0,2202.0,15.3,76,1
194,116,17.5,8,305.0,140.0,4215.0,13.0,76,0
195,147,16.0,8,318.0,150.0,4190.0,13.0,76,0
196,41,15.5,8,304.0,120.0,3962.0,13.9,76,0
197,84,14.5,8,351.0,152.0,4215.0,12.8,76,0
198,93,22.0,6,225.0,100.0,3233.0,15.4,76,0
199,114,22.0,6,250.0,105.0,3353.0,14.5,76,0
200,23,24.0,6,200.0,81.0,3012.0,17.6,76,0
201,22,22.5,6,232.0,90.0,3085.0,17.6,76,0
202,148,29.0,4,85.0,52.0,2035.0,22.2,76,0
203,149,24.5,4,98.0,60.0,2164.0,22.1,76,0
204,139,29.0,4,90.0,70.0,1937.0,14.2,76,1
205,125,33.0,4,91.0,53.0,1795.0,17.4,76,2
206,150,20.0,6,225.0,100.0,3651.0,17.7,76,0
207,151,18.0,6,250.0,78.0,3574.0,21.0,76,0
208,152,18.5,6,250.0,110.0,3645.0,16.2,76,0
209,153,17.5,6,258.0,95.0,3193.0,17.8,76,0
210,139,29.5,4,97.0,71.0,1825.0,12.2,76,1
211,154,32.0,4,85.0,70.0,1990.0,17.0,76,2
212,36,28.0,4,97.0,75.0,2155.0,16.4,76,2
213,37,26.5,4,140.0,72.0,2565.0,13.6,76,0
214,155,20.0,4,130.0,102.0,3150.0,15.7,76,1
215,156,13.0,8,318.0,150.0,3940.0,13.2,76,0
216,26,19.0,4,120.0,88.0,3270.0,21.9,76,1
217,112,19.0,6,156.0,108.0,2930.0,15.5,76,2
218,157,16.5,6,168.0,120.0,3820.0,16.7,76,1
219,158,16.5,8,350.0,180.0,4380.0,12.1,76,0
220,159,13.0,8,350.0,145.0,4055.0,12.0,76,0
221,160,13.0,8,302.0,130.0,3870.0,15.0,76,0
222,161,13.0,8,318.0,150.0,3755.0,14.0,76,0
223,162,31.5,4,98.0,68.0,2045.0,18.5,77,2
224,163,30.0,4,111.0,80.0,2155.0,14.8,77,0
225,164,36.0,4,79.0,58.0,1825.0,18.6,77,1
226,165,25.5,4,122.0,96.0,2300.0,15.5,77,0
227,166,33.5,4,85.0,70.0,1945.0,16.8,77,2
228,87,17.5,8,305.0,145.0,3880.0,12.5,77,0
229,167,17.0,8,260.0,110.0,4060.0,19.0,77,0
230,168,15.5,8,318.0,145.0,4140.0,13.7,77,0
231,169,15.0,8,302.0,130.0,4295.0,14.9,77,0
232,170,17.5,6,250.0,110.0,3520.0,16.4,77,0
233,171,20.5,6,231.0,105.0,3425.0,16.9,77,0
234,172,19.0,6,225.0,100.0,3630.0,17.7,77,0
235,173,18.5,6,250.0,98.0,3525.0,19.0,77,0
236,174,16.0,8,400.0,180.0,4220.0,11.1,77,0
237,175,15.5,8,350.0,170.0,4165.0,11.4,77,0
238,176,15.5,8,400.0,190.0,4325.0,12.2,77,0
239,177,16.0,8,351.0,149.0,4335.0,14.5,77,0
240,178,29.0,4,97.0,78.0,1940.0,14.5,77,1
241,179,24.5,4,151.0,88.0,2740.0,16.0,77,0
242,180,26.0,4,97.0,75.0,2265.0,18.2,77,2
243,181,25.5,4,140.0,89.0,2755.0,15.8,77,0
244,148,30.5,4,98.0,63.0,2051.0,17.0,77,0
245,182,33.5,4,98.0,83.0,2075.0,15.9,77,0
246,183,30.0,4,97.0,67.0,1985.0,16.4,77,2
247,121,30.5,4,97.0,78.0,2190.0,14.1,77,1
248,184,22.0,6,146.0,97.0,2815.0,14.5,77,2
249,185,21.5,4,121.0,110.0,2600.0,12.8,77,1
250,186,21.5,3,80.0,110.0,2720.0,13.5,77,2
251,187,43.1,4,90.0,48.0,1985.0,21.5,78,1
252,188,36.1,4,98.0,66.0,1800.0,14.4,78,0
253,189,32.8,4,78.0,52.0,1985.0,19.4,78,2
254,190,39.4,4,85.0,70.0,2070.0,18.6,78,2
255,143,36.1,4,91.0,60.0,1800.0,16.4,78,2
256,191,19.9,8,260.0,110.0,3365.0,15.5,78,0
257,192,19.4,8,318.0,140.0,3735.0,13.2,78,0
258,193,20.2,8,302.0,139.0,3570.0,12.8,78,0
259,194,19.2,6,231.0,105.0,3535.0,19.2,78,0
260,83,20.5,6,200.0,95.0,3155.0,18.2,78,0
261,195,20.2,6,200.0,85.0,2965.0,15.8,78,0
262,196,25.1,4,140.0,88.0,2720.0,15.4,78,0
263,197,20.5,6,225.0,100.0,3430.0,17.2,78,0
264,198,19.4,6,232.0,90.0,3210.0,17.2,78,0
265,199,20.6,6,231.0,105.0,3380.0,15.8,78,0
266,200,20.8,6,200.0,85.0,3070.0,16.7,78,0
267,201,18.6,6,225.0,110.0,3620.0,18.7,78,0
268,202,18.1,6,258.0,120.0,3410.0,15.1,78,0
269,175,19.2,8,305.0,145.0,3425.0,13.2,78,0
270,203,17.7,6,231.0,165.0,3445.0,13.4,78,0
271,204,18.1,8,302.0,139.0,3205.0,11.2,78,0
272,205,17.5,8,318.0,140.0,4080.0,13.7,78,0
273,148,30.0,4,98.0,68.0,2155.0,16.5,78,0
274,36,27.5,4,134.0,95.0,2560.0,14.2,78,2
275,206,27.2,4,119.0,97.0,2300.0,14.7,78,2
276,207,30.9,4,105.0,75.0,2230.0,14.5,78,0
277,208,21.1,4,134.0,95.0,2515.0,14.8,78,2
278,209,23.2,4,156.0,105.0,2745.0,16.7,78,0
279,210,23.8,4,151.0,85.0,2855.0,17.6,78,0
280,211,23.9,4,119.0,97.0,2405.0,14.9,78,2
281,212,20.3,5,131.0,103.0,2830.0,15.9,78,1
282,213,17.0,6,163.0,125.0,3140.0,13.6,78,1
283,214,21.6,4,121.0,115.0,2795.0,15.7,78,1
284,215,16.2,6,163.0,133.0,3410.0,15.8,78,1
285,216,31.5,4,89.0,71.0,1990.0,14.9,78,1
286,217,29.5,4,98.0,68.0,2135.0,16.6,78,2
287,218,21.5,6,231.0,115.0,3245.0,15.4,79,0
288,219,19.8,6,200.0,85.0,2990.0,18.2,79,0
289,220,22.3,4,140.0,88.0,2890.0,17.3,79,0
290,221,20.2,6,232.0,90.0,3265.0,18.2,79,0
291,222,20.6,6,225.0,110.0,3360.0,16.6,79,0
292,87,17.0,8,305.0,130.0,3840.0,15.4,79,0
293,223,17.6,8,302.0,129.0,3725.0,13.4,79,0
294,224,16.5,8,351.0,138.0,3955.0,13.2,79,0
295,225,18.2,8,318.0,135.0,3830.0,15.2,79,0
296,19,16.9,8,350.0,155.0,4360.0,14.9,79,0
297,44,15.5,8,351.0,142.0,4054.0,14.3,79,0
298,226,19.2,8,267.0,125.0,3605.0,15.0,79,0
299,227,18.5,8,360.0,150.0,3940.0,13.0,79,0
300,178,31.9,4,89.0,71.0,1925.0,14.0,79,1
301,189,34.1,4,86.0,65.0,1975.0,15.2,79,2
302,228,35.7,4,98.0,80.0,1915.0,14.4,79,0
303,229,27.4,4,121.0,80.0,2670.0,15.0,79,0
304,230,25.4,5,183.0,77.0,3530.0,20.1,79,1
305,231,23.0,8,350.0,125.0,3900.0,17.4,79,0
306,26,27.2,4,141.0,71.0,3190.0,24.8,79,1
307,191,23.9,8,260.0,90.0,3420.0,22.2,79,0
308,232,34.2,4,105.0,70.0,2200.0,13.2,79,0
309,233,34.5,4,105.0,70.0,2150.0,14.9,79,0
310,234,31.8,4,85.0,65.0,2020.0,19.2,79,2
311,235,37.3,4,91.0,69.0,2130.0,14.7,79,1
312,236,28.4,4,151.0,90.0,2670.0,16.0,79,0
313,237,28.8,6,173.0,115.0,2595.0,11.3,79,0
314,238,26.8,6,173.0,115.0,2700.0,12.9,79,0
315,239,33.5,4,151.0,90.0,2556.0,13.2,79,0
316,139,41.5,4,98.0,76.0,2144.0,14.7,80,1
317,240,38.1,4,89.0,60.0,1968.0,18.8,80,2
318,148,32.1,4,98.0,70.0,2120.0,15.5,80,0
319,241,37.2,4,86.0,65.0,2019.0,16.4,80,2
320,237,28.0,4,151.0,90.0,2678.0,16.5,80,0
321,242,26.4,4,140.0,88.0,2870.0,18.1,80,0
322,198,24.3,4,151.0,90.0,3003.0,20.1,80,0
323,201,19.1,6,225.0,90.0,3381.0,18.7,80,0
324,243,34.3,4,97.0,78.0,2188.0,15.8,80,1
325,180,29.8,4,134.0,90.0,2711.0,15.5,80,2
326,244,31.3,4,120.0,75.0,2542.0,17.5,80,2
327,245,37.0,4,119.0,92.0,2434.0,15.0,80,2
328,36,32.2,4,108.0,75.0,2265.0,15.2,80,2
329,246,46.6,4,86.0,65.0,2110.0,17.9,80,2
330,123,27.9,4,156.0,105.0,2800.0,14.4,80,0
331,234,40.8,4,85.0,65.0,2110.0,19.2,80,2
332,247,44.3,4,90.0,48.0,2085.0,21.7,80,1
333,248,43.4,4,90.0,48.0,2335.0,23.7,80,1
334,249,36.4,5,121.0,67.0,2950.0,19.9,80,1
335,250,30.0,4,146.0,67.0,3250.0,21.8,80,1
336,251,44.6,4,91.0,67.0,1850.0,13.8,80,2
337,252,40.9,4,85.0,0.0,1835.0,17.3,80,1
338,183,33.8,4,97.0,67.0,2145.0,18.0,80,2
339,139,29.8,4,89.0,62.0,1845.0,15.3,80,1
340,253,32.7,6,168.0,132.0,2910.0,11.4,80,2
341,254,23.7,3,70.0,100.0,2420.0,12.5,80,2
342,255,35.0,4,122.0,88.0,2500.0,15.1,80,1
343,256,23.6,4,140.0,0.0,2905.0,14.3,80,0
344,257,32.4,4,107.0,72.0,2290.0,17.0,80,2
345,258,27.2,4,135.0,84.0,2490.0,15.7,81,0
346,171,26.6,4,151.0,84.0,2635.0,16.4,81,0
347,259,25.8,4,156.0,92.0,2620.0,14.4,81,0
348,237,23.5,6,173.0,110.0,2725.0,12.6,81,0
349,258,30.0,4,135.0,84.0,2385.0,12.9,81,0
350,260,39.1,4,79.0,58.0,1755.0,16.9,81,2
351,261,39.0,4,86.0,64.0,1875.0,16.4,81,0
352,262,35.1,4,81.0,60.0,1760.0,16.1,81,2
353,126,32.3,4,97.0,67.0,2065.0,17.8,81,2
354,263,37.0,4,85.0,65.0,1975.0,19.4,81,2
355,264,37.7,4,89.0,62.0,2050.0,17.3,81,2
356,265,34.1,4,91.0,68.0,1985.0,16.0,81,2
357,266,34.7,4,105.0,63.0,2215.0,14.9,81,0
358,267,34.4,4,98.0,65.0,2045.0,16.2,81,0
359,268,29.9,4,98.0,65.0,2380.0,20.7,81,0
360,269,33.0,4,105.0,74.0,2190.0,14.2,81,1
361,270,34.5,4,100.0,0.0,2320.0,15.8,81,1
362,271,33.7,4,107.0,75.0,2210.0,14.4,81,2
363,36,32.4,4,108.0,75.0,2350.0,16.8,81,2
364,272,32.9,4,119.0,100.0,2615.0,14.8,81,2
365,244,31.6,4,120.0,74.0,2635.0,18.3,81,2
366,273,28.1,4,141.0,80.0,3230.0,20.4,81,1
367,274,0.0,4,121.0,110.0,2800.0,15.4,81,1
368,275,30.7,6,145.0,76.0,3160.0,19.6,81,1
369,276,25.4,6,168.0,116.0,2900.0,12.6,81,2
370,277,24.2,6,146.0,120.0,2930.0,13.8,81,2
371,132,22.4,6,231.0,110.0,3415.0,15.8,81,0
372,278,26.6,8,350.0,105.0,3725.0,19.0,81,0
373,279,20.2,6,200.0,88.0,3060.0,17.1,81,0
374,280,17.6,6,225.0,85.0,3465.0,16.6,81,0
375,281,28.0,4,112.0,88.0,2605.0,19.6,82,0
376,282,27.0,4,112.0,88.0,2640.0,18.6,82,0
377,283,34.0,4,112.0,88.0,2395.0,18.0,82,0
378,284,31.0,4,112.0,85.0,2575.0,16.2,82,0
379,285,29.0,4,135.0,84.0,2525.0,16.0,82,0
380,239,27.0,4,151.0,90.0,2735.0,18.0,82,0
381,286,24.0,4,140.0,92.0,2865.0,16.4,82,0
382,287,23.0,4,151.0,0.0,3035.0,20.5,82,0
383,288,36.0,4,105.0,74.0,1980.0,15.3,82,1
384,289,37.0,4,91.0,68.0,2025.0,18.2,82,2
385,290,31.0,4,91.0,68.0,1970.0,17.6,82,2
386,291,38.0,4,105.0,63.0,2125.0,14.7,82,0
387,292,36.0,4,98.0,70.0,2125.0,17.3,82,0
388,293,36.0,4,120.0,88.0,2160.0,14.5,82,2
389,257,36.0,4,107.0,75.0,2205.0,14.5,82,2
390,36,34.0,4,108.0,70.0,2245.0,16.9,82,2
391,125,38.0,4,91.0,67.0,1965.0,15.0,82,2
392,294,32.0,4,91.0,67.0,1965.0,15.7,82,2
393,295,38.0,4,91.0,67.0,1995.0,16.2,82,2
394,296,25.0,6,181.0,110.0,2945.0,16.4,82,0
395,297,38.0,6,262.0,85.0,3015.0,17.0,82,0
396,298,26.0,4,156.0,92.0,2585.0,14.5,82,0
397,299,22.0,6,232.0,112.0,2835.0,14.7,82,0
398,300,32.0,4,144.0,96.0,2665.0,13.9,82,2
399,301,36.0,4,135.0,84.0,2370.0,13.0,82,0
400,302,27.0,4,151.0,90.0,2950.0,17.3,82,0
401,303,27.0,4,140.0,86.0,2790.0,15.6,82,0
402,304,44.0,4,97.0,52.0,2130.0,24.6,82,1
403,305,32.0,4,135.0,84.0,2295.0,11.6,82,0
404,306,28.0,4,120.0,79.0,2625.0,18.6,82,0
405,307,31.0,4,119.0,82.0,2720.0,19.4,82,0
